"","Year","State","irrigated_sum","non_irrigated_sum","total","pc_irr","pc_non_irr"
"370",2003,"SOUTH DAKOTA",174.2,108.4,282.6,0.616418966737438,0.383581033262562
"371",2003,"TEXAS",180.7,73.3,254,0.711417322834646,0.288582677165354
"372",2003,"WYOMING",134,47,181,0.740331491712707,0.259668508287293
"373",2004,"COLORADO",178,40,218,0.81651376146789,0.18348623853211
"374",2004,"KANSAS",192,110,302,0.635761589403974,0.364238410596026
"375",2004,"MONTANA",143,0,143,1,0
"376",2004,"NEBRASKA",186.1,134,320.1,0.581380818494221,0.418619181505779
"377",2004,"NEW MEXICO",180,0,180,1,0
"378",2004,"NORTH DAKOTA",118.8,104.1,222.9,0.532974427994616,0.467025572005384
"379",2004,"OKLAHOMA",195,95,290,0.672413793103448,0.327586206896552
"380",2004,"SOUTH DAKOTA",169.9,128.4,298.3,0.569560844787127,0.430439155212873
"381",2004,"TEXAS",193,92.5,285.5,0.67600700525394,0.32399299474606
"382",2004,"WYOMING",132,47,179,0.737430167597765,0.262569832402235
"383",2005,"COLORADO",184,38.5,222.5,0.826966292134831,0.173033707865169
"384",2005,"KANSAS",187,94,281,0.665480427046263,0.334519572953737
"385",2005,"MONTANA",148,0,148,1,0
"386",2005,"NEBRASKA",184.7,108.5,293.2,0.629945429740791,0.370054570259209
"387",2005,"NEW MEXICO",175,0,175,1,0
"388",2005,"NORTH DAKOTA",156.5,127.5,284,0.551056338028169,0.448943661971831
"389",2005,"OKLAHOMA",161.3,75.6,236.9,0.680878007598143,0.319121992401857
"390",2005,"SOUTH DAKOTA",170,116.8,286.8,0.592747559274756,0.407252440725244
"391",2005,"TEXAS",179,70.6,249.6,0.717147435897436,0.282852564102564
"392",2005,"WYOMING",143,28,171,0.83625730994152,0.16374269005848
"393",2006,"COLORADO",202.5,32,234.5,0.863539445628998,0.136460554371002
"394",2006,"KANSAS",173,72,245,0.706122448979592,0.293877551020408
"395",2006,"MONTANA",146,0,146,1,0
"396",2006,"NEBRASKA",184.8,101,285.8,0.646606018194542,0.353393981805458
"397",2006,"NEW MEXICO",185,0,185,1,0
"398",2006,"NORTH DAKOTA",158.8,108.3,267.1,0.594533882441033,0.405466117558967
"399",2006,"OKLAHOMA",160,54.8,214.8,0.74487895716946,0.25512104283054
"400",2006,"SOUTH DAKOTA",168.7,93.1,261.8,0.644385026737968,0.355614973262032
"401",2006,"TEXAS",179,72,251,0.713147410358566,0.286852589641434
"402",2006,"WYOMING",135,24,159,0.849056603773585,0.150943396226415
"403",2007,"COLORADO",192,60.5,252.5,0.76039603960396,0.23960396039604
"404",2007,"KANSAS",193,97,290,0.66551724137931,0.33448275862069
"405",2007,"MONTANA",140,0,140,1,0
"406",2007,"NEBRASKA",181.2,125,306.2,0.591770084911822,0.408229915088178
"407",2007,"NEW MEXICO",180,0,180,1,0
"408",2007,"NORTH DAKOTA",147.6,114.5,262.1,0.563143838229683,0.436856161770317
"409",2007,"OKLAHOMA",184.6,102.3,286.9,0.643429766469153,0.356570233530847
"410",2007,"SOUTH DAKOTA",172.1,118.6,290.7,0.592019263845889,0.407980736154111
"411",2007,"TEXAS",199,101,300,0.663333333333333,0.336666666666667
"412",2007,"WYOMING",133,36,169,0.78698224852071,0.21301775147929
"413",2008,"COLORADO",176,45,221,0.796380090497738,0.203619909502262
"414",2008,"KANSAS",183,97,280,0.653571428571429,0.346428571428571
"415",2008,"NEBRASKA",184,130,314,0.585987261146497,0.414012738853503
"416",2008,"NEW MEXICO",185,0,185,1,0
"417",2008,"NORTH DAKOTA",153,123,276,0.554347826086957,0.445652173913043
"418",2008,"OKLAHOMA",159,67,226,0.70353982300885,0.29646017699115
"419",2008,"SOUTH DAKOTA",174,131,305,0.570491803278689,0.429508196721311
"420",2008,"TEXAS",174,62,236,0.73728813559322,0.26271186440678
"421",2008,"WYOMING",144,38,182,0.791208791208791,0.208791208791209
"422",2009,"COLORADO",189,67,256,0.73828125,0.26171875
"423",2009,"KANSAS",205,123,328,0.625,0.375
"424",2009,"NEBRASKA",198.6,149.8,348.4,0.570034443168771,0.429965556831229
"425",2009,"NORTH DAKOTA",121,121,242,0.5,0.5
"426",2009,"OKLAHOMA",110,110,220,0.5,0.5
"427",2009,"SOUTH DAKOTA",181,150,331,0.546827794561934,0.453172205438066
"428",2009,"TEXAS",187.2,48,235.2,0.795918367346939,0.204081632653061
"429",2010,"COLORADO",200,73.9,273.9,0.730193501277839,0.269806498722161
"430",2010,"KANSAS",186.5,91.2,277.7,0.671588044652503,0.328411955347497
"431",2010,"NEBRASKA",185.6,137.5,323.1,0.574435159393377,0.425564840606623
"432",2010,"TEXAS",200.1,86.8,286.9,0.697455559428372,0.302544440571628
"433",2011,"COLORADO",184.1,55.1,239.2,0.769648829431438,0.230351170568562
"434",2011,"KANSAS",160.5,76.4,236.9,0.677501055297594,0.322498944702406
"435",2011,"NEBRASKA",180,132,312,0.576923076923077,0.423076923076923
"436",2011,"TEXAS",131,40.8,171.8,0.762514551804424,0.237485448195576
"437",2012,"COLORADO",183,17.5,200.5,0.912718204488778,0.0872817955112219
"438",2012,"KANSAS",170.2,49,219.2,0.776459854014598,0.223540145985401
"439",2012,"NEBRASKA",190.1,58.5,248.6,0.764682220434433,0.235317779565567
"440",2012,"TEXAS",173.1,83.8,256.9,0.673803036200856,0.326196963799144
"441",2013,"COLORADO",184.1,31,215.1,0.855880985588099,0.144119014411901
"442",2013,"KANSAS",189.4,88,277.4,0.682768565248738,0.317231434751262
"443",2013,"NEBRASKA",196,128.7,324.7,0.603634123806591,0.396365876193409
"444",2013,"TEXAS",193.4,83.4,276.8,0.698699421965318,0.301300578034682
"445",2014,"COLORADO",191,61.2,252.2,0.757335448057098,0.242664551942902
"446",2014,"KANSAS",196,121.8,317.8,0.616740088105727,0.383259911894273
"447",2014,"NEBRASKA",201.1,147.5,348.6,0.576878944348824,0.423121055651176
"448",2014,"TEXAS",202.1,99.8,301.9,0.669426962570388,0.330573037429612
"449",2015,"COLORADO",188.3,62.6,250.9,0.750498206456756,0.249501793543244
"450",2015,"KANSAS",206.4,115.5,321.9,0.641192917054986,0.358807082945014
"451",2015,"NEBRASKA",207.1,153.7,360.8,0.5740022172949,0.4259977827051
"452",2015,"TEXAS",183.9,75,258.9,0.710312862108922,0.289687137891078
"453",2016,"COLORADO",189.5,66.6,256.1,0.739945333853963,0.260054666146037
"454",2016,"KANSAS",189.3,120.3,309.6,0.611434108527132,0.388565891472868
"455",2016,"NEBRASKA",199.9,147.2,347.1,0.575914721982138,0.424085278017862
"456",2016,"TEXAS",178.2,81.5,259.7,0.686176357335387,0.313823642664613
"457",2017,"COLORADO",200.8,82.3,283.1,0.709290003532321,0.290709996467679
"458",2017,"KANSAS",197.5,107.3,304.8,0.647965879265092,0.352034120734908
"459",2017,"NEBRASKA",208.7,144.6,353.3,0.590716105292952,0.409283894707048
"460",2017,"TEXAS",192.3,101.2,293.5,0.655195911413969,0.344804088586031
"461",2018,"COLORADO",196.6,66.7,263.3,0.746676794530953,0.253323205469047
"462",2018,"KANSAS",195.4,102.5,297.9,0.655924806982209,0.344075193017791
"463",2018,"NEBRASKA",215.8,160.3,376.1,0.573783568199947,0.426216431800053
"464",2018,"TEXAS",160,69,229,0.698689956331878,0.301310043668122
