"","Year","State","irrigated_sum","non_irrigated_sum","total","pc_irr","pc_non_irr"
"87",1968,"SOUTH DAKOTA",92.5,0,92.5,1,0
"88",1968,"WYOMING",75,0,75,1,0
"89",1969,"COLORADO",102.5,20.5,123,0.833333333333333,0.166666666666667
"90",1969,"MONTANA",73,0,73,1,0
"91",1969,"NEBRASKA",121,72.8,193.8,0.624355005159959,0.375644994840041
"92",1969,"SOUTH DAKOTA",95.7,0,95.7,1,0
"93",1969,"WYOMING",74,20,94,0.787234042553192,0.212765957446809
"94",1970,"COLORADO",103.5,23,126.5,0.818181818181818,0.181818181818182
"95",1970,"MONTANA",72,0,72,1,0
"96",1970,"NEBRASKA",111.4,45.6,157,0.709554140127389,0.290445859872611
"97",1970,"SOUTH DAKOTA",85.6,0,85.6,1,0
"98",1970,"WYOMING",65,0,65,1,0
"99",1971,"COLORADO",91,25,116,0.78448275862069,0.21551724137931
"100",1971,"MONTANA",76,0,76,1,0
"101",1971,"NEBRASKA",111.8,60.6,172.4,0.648491879350348,0.351508120649652
"102",1971,"NEW MEXICO",58,14.8,72.8,0.796703296703297,0.203296703296703
"103",1971,"SOUTH DAKOTA",91,0,91,1,0
"104",1971,"WYOMING",79,25,104,0.759615384615385,0.240384615384615
"105",1972,"COLORADO",106.5,28,134.5,0.79182156133829,0.20817843866171
"106",1972,"IDAHO",87,0,87,1,0
"107",1972,"KANSAS",124,87,211,0.587677725118483,0.412322274881517
"108",1972,"MONTANA",78,0,78,1,0
"109",1972,"NEBRASKA",124.1,85.4,209.5,0.59236276849642,0.40763723150358
"110",1972,"SOUTH DAKOTA",100,0,100,1,0
"111",1972,"WYOMING",86.5,27,113.5,0.762114537444934,0.237885462555066
"112",1973,"COLORADO",105.5,28,133.5,0.790262172284644,0.209737827715356
"113",1973,"KANSAS",121,77,198,0.611111111111111,0.388888888888889
"114",1973,"MONTANA",73,0,73,1,0
"115",1973,"NEBRASKA",114,75.9,189.9,0.600315955766193,0.399684044233807
"116",1973,"SOUTH DAKOTA",98.4,0,98.4,1,0
"117",1973,"WYOMING",91.5,30,121.5,0.753086419753086,0.246913580246914
"118",1974,"COLORADO",102.5,19,121.5,0.843621399176955,0.156378600823045
"119",1974,"KANSAS",108,39,147,0.73469387755102,0.26530612244898
"120",1974,"MONTANA",65,0,65,1,0
"121",1974,"NEBRASKA",104,29.5,133.5,0.779026217228464,0.220973782771536
"122",1974,"SOUTH DAKOTA",84,0,84,1,0
"123",1974,"WYOMING",73.2,30,103.2,0.709302325581395,0.290697674418605
"124",1975,"COLORADO",96,16,112,0.857142857142857,0.142857142857143
"125",1975,"KANSAS",106,46,152,0.697368421052632,0.302631578947368
"126",1975,"MONTANA",73,0,73,1,0
"127",1975,"NEBRASKA",112.7,47.6,160.3,0.703056768558952,0.296943231441048
"128",1975,"WYOMING",81.6,35,116.6,0.699828473413379,0.300171526586621
"129",1976,"COLORADO",105.5,18,123.5,0.854251012145749,0.145748987854251
"130",1976,"KANSAS",116,52,168,0.69047619047619,0.30952380952381
"131",1976,"MONTANA",75,0,75,1,0
"132",1976,"NEBRASKA",112,40.4,152.4,0.73490813648294,0.26509186351706
"133",1976,"WYOMING",88.5,40,128.5,0.688715953307393,0.311284046692607
"134",1977,"COLORADO",118.5,30,148.5,0.797979797979798,0.202020202020202
"135",1977,"KANSAS",106,65,171,0.619883040935672,0.380116959064327
"136",1977,"MONTANA",68,0,68,1,0
"137",1977,"NEBRASKA",116,64.2,180.2,0.643729189789123,0.356270810210877
"138",1977,"WYOMING",86.2,28,114.2,0.754816112084063,0.245183887915937
"139",1978,"COLORADO",113.5,18,131.5,0.863117870722434,0.136882129277567
"140",1978,"KANSAS",116,69,185,0.627027027027027,0.372972972972973
"141",1978,"MONTANA",72,0,72,1,0
"142",1978,"NEBRASKA",126,85.2,211.2,0.596590909090909,0.403409090909091
"143",1978,"WYOMING",82.5,31,113.5,0.726872246696035,0.273127753303965
"144",1979,"COLORADO",129,44,173,0.745664739884393,0.254335260115607
"145",1979,"KANSAS",129,90,219,0.589041095890411,0.410958904109589
"146",1979,"MONTANA",77,0,77,1,0
"147",1979,"NEBRASKA",128,87.6,215.6,0.593692022263451,0.406307977736549
"148",1979,"WYOMING",87.9,37,124.9,0.703763010408327,0.296236989591673
"149",1980,"COLORADO",121,30,151,0.801324503311258,0.198675496688742
"150",1980,"KANSAS",110,39,149,0.738255033557047,0.261744966442953
"151",1980,"MONTANA",74,0,74,1,0
"152",1980,"NEBRASKA",101,48.2,149.2,0.676943699731903,0.323056300268097
"153",1980,"WYOMING",97.8,35,132.8,0.73644578313253,0.26355421686747
"154",1981,"COLORADO",138,37,175,0.788571428571429,0.211428571428571
"155",1981,"KANSAS",140,96,236,0.593220338983051,0.406779661016949
"156",1981,"MONTANA",85,0,85,1,0
"157",1981,"NEBRASKA",129,79.1,208.1,0.619894281595387,0.380105718404613
