"","year","state","rel_crop_output","region"
"133",1973,"MONTANA",1.1335,"north"
"134",1973,"NORTH DAKOTA",2.3626,"north"
"135",1973,"SOUTH DAKOTA",1.9014,"north"
"136",1973,"WISCONSIN",2.3593,"north"
"137",1973,"ARKANSAS",1.8547,"south"
"138",1973,"OKLAHOMA",1.7051,"south"
"139",1973,"TENNESSEE",1.2307,"south"
"140",1973,"TEXAS",5.3467,"south"
"141",1974,"IDAHO",1.593,"north"
"142",1974,"MINNESOTA",3.7523,"north"
"143",1974,"MONTANA",1.188,"north"
"144",1974,"NORTH DAKOTA",2.0292,"north"
"145",1974,"SOUTH DAKOTA",1.4597,"north"
"146",1974,"WISCONSIN",2.3384,"north"
"147",1974,"ARKANSAS",1.4896,"south"
"148",1974,"OKLAHOMA",1.37,"south"
"149",1974,"TENNESSEE",1.1195,"south"
"150",1974,"TEXAS",4.1041,"south"
"151",1975,"IDAHO",1.5265,"north"
"152",1975,"MINNESOTA",4.1637,"north"
"153",1975,"MONTANA",1.4337,"north"
"154",1975,"NORTH DAKOTA",2.4606,"north"
"155",1975,"SOUTH DAKOTA",1.5834,"north"
"156",1975,"WISCONSIN",2.5344,"north"
"157",1975,"ARKANSAS",2.1278,"south"
"158",1975,"OKLAHOMA",1.5719,"south"
"159",1975,"TENNESSEE",1.2685,"south"
"160",1975,"TEXAS",4.959,"south"
"161",1976,"IDAHO",1.6961,"north"
"162",1976,"MINNESOTA",3.6958,"north"
"163",1976,"MONTANA",1.4772,"north"
"164",1976,"NORTH DAKOTA",2.5503,"north"
"165",1976,"SOUTH DAKOTA",0.8463,"north"
"166",1976,"WISCONSIN",2.1459,"north"
"167",1976,"ARKANSAS",1.8182,"south"
"168",1976,"OKLAHOMA",1.4198,"south"
"169",1976,"TENNESSEE",1.3705,"south"
"170",1976,"TEXAS",4.9821,"south"
"171",1977,"IDAHO",1.5985,"north"
"172",1977,"MINNESOTA",5.7433,"north"
"173",1977,"MONTANA",1.2935,"north"
"174",1977,"NORTH DAKOTA",2.5045,"north"
"175",1977,"SOUTH DAKOTA",1.9824,"north"
"176",1977,"WISCONSIN",3.0928,"north"
"177",1977,"ARKANSAS",2.0537,"south"
"178",1977,"OKLAHOMA",1.6691,"south"
"179",1977,"TENNESSEE",1.4094,"south"
"180",1977,"TEXAS",5.3191,"south"
"181",1978,"IDAHO",1.9008,"north"
"182",1978,"MINNESOTA",5.787,"north"
"183",1978,"MONTANA",1.4757,"north"
"184",1978,"NORTH DAKOTA",3.2363,"north"
"185",1978,"SOUTH DAKOTA",2.207,"north"
"186",1978,"WISCONSIN",3.0053,"north"
"187",1978,"ARKANSAS",2.0673,"south"
"188",1978,"OKLAHOMA",1.4863,"south"
"189",1978,"TENNESSEE",1.4752,"south"
"190",1978,"TEXAS",4.8169,"south"
"191",1979,"IDAHO",1.8794,"north"
"192",1979,"MINNESOTA",5.8014,"north"
"193",1979,"MONTANA",1.2209,"north"
"194",1979,"NORTH DAKOTA",3.0164,"north"
"195",1979,"SOUTH DAKOTA",2.2985,"north"
"196",1979,"WISCONSIN",3.206,"north"
"197",1979,"ARKANSAS",2.2922,"south"
"198",1979,"OKLAHOMA",2.0563,"south"
"199",1979,"TENNESSEE",1.5647,"south"
"200",1979,"TEXAS",6.0226,"south"
"201",1980,"IDAHO",1.999,"north"
"202",1980,"MINNESOTA",5.6607,"north"
"203",1980,"MONTANA",1.2361,"north"
"204",1980,"NORTH DAKOTA",2.2652,"north"
"205",1980,"SOUTH DAKOTA",1.8487,"north"
"206",1980,"WISCONSIN",3.2757,"north"
"207",1980,"ARKANSAS",1.6922,"south"
"208",1980,"OKLAHOMA",1.5937,"south"
"209",1980,"TENNESSEE",1.3007,"south"
"210",1980,"TEXAS",4.8369,"south"
"211",1981,"IDAHO",2.0339,"north"
"212",1981,"MINNESOTA",6.4008,"north"
"213",1981,"MONTANA",1.6101,"north"
"214",1981,"NORTH DAKOTA",3.7547,"north"
"215",1981,"SOUTH DAKOTA",2.2377,"north"
"216",1981,"WISCONSIN",3.4078,"north"
"217",1981,"ARKANSAS",2.4982,"south"
"218",1981,"OKLAHOMA",1.6277,"south"
"219",1981,"TENNESSEE",1.782,"south"
"220",1981,"TEXAS",6.0814,"south"
"221",1982,"IDAHO",2.1451,"north"
"222",1982,"MINNESOTA",6.4591,"north"
"223",1982,"MONTANA",1.7447,"north"
"224",1982,"NORTH DAKOTA",3.6646,"north"
"225",1982,"SOUTH DAKOTA",2.7018,"north"
"226",1982,"WISCONSIN",3.6247,"north"
"227",1982,"ARKANSAS",2.3448,"south"
"228",1982,"OKLAHOMA",1.9445,"south"
"229",1982,"TENNESSEE",1.8455,"south"
"230",1982,"TEXAS",5.8831,"south"
"231",1983,"IDAHO",2.0903,"north"
"232",1983,"MINNESOTA",4.6031,"north"
"233",1983,"MONTANA",1.4253,"north"
"234",1983,"NORTH DAKOTA",3.0104,"north"
"235",1983,"SOUTH DAKOTA",2.1252,"north"
"236",1983,"WISCONSIN",2.9341,"north"
"237",1983,"ARKANSAS",1.7339,"south"
"238",1983,"OKLAHOMA",1.4742,"south"
"239",1983,"TENNESSEE",1.2207,"south"
"240",1983,"TEXAS",4.7915,"south"
"241",1984,"IDAHO",2.1148,"north"
"242",1984,"MINNESOTA",6.2786,"north"
"243",1984,"MONTANA",1.1523,"north"
"244",1984,"NORTH DAKOTA",3.4033,"north"
"245",1984,"SOUTH DAKOTA",2.8306,"north"
"246",1984,"WISCONSIN",3.4965,"north"
"247",1984,"ARKANSAS",2.3056,"south"
"248",1984,"OKLAHOMA",1.6399,"south"
"249",1984,"TENNESSEE",1.7704,"south"
"250",1984,"TEXAS",4.6695,"south"
"251",1985,"IDAHO",1.9151,"north"
"252",1985,"MINNESOTA",6.5023,"north"
"253",1985,"MONTANA",0.6862,"north"
"254",1985,"NORTH DAKOTA",3.7649,"north"
"255",1985,"SOUTH DAKOTA",2.8172,"north"
"256",1985,"WISCONSIN",3.4222,"north"
"257",1985,"ARKANSAS",2.2479,"south"
"258",1985,"OKLAHOMA",1.668,"south"
"259",1985,"TENNESSEE",1.8585,"south"
"260",1985,"TEXAS",5.6422,"south"
"261",1986,"IDAHO",2.035,"north"
"262",1986,"MINNESOTA",6.1518,"north"
"263",1986,"MONTANA",1.4883,"north"
"264",1986,"NORTH DAKOTA",3.8404,"north"
"265",1986,"SOUTH DAKOTA",2.9513,"north"
"266",1986,"WISCONSIN",3.3899,"north"
"267",1986,"ARKANSAS",2.0187,"south"
"268",1986,"OKLAHOMA",1.5872,"south"
"269",1986,"TENNESSEE",1.4692,"south"
"270",1986,"TEXAS",4.9417,"south"
"271",1987,"IDAHO",2.1284,"north"
"272",1987,"MINNESOTA",5.802,"north"
"273",1987,"MONTANA",1.6004,"north"
"274",1987,"NORTH DAKOTA",3.5491,"north"
"275",1987,"SOUTH DAKOTA",2.7928,"north"
"276",1987,"WISCONSIN",3.1058,"north"
"277",1987,"ARKANSAS",2.182,"south"
"278",1987,"OKLAHOMA",1.5016,"south"
"279",1987,"TENNESSEE",1.5235,"south"
"280",1987,"TEXAS",4.6027,"south"
"281",1988,"IDAHO",1.9702,"north"
"282",1988,"MINNESOTA",3.8092,"north"
"283",1988,"MONTANA",0.7773,"north"
"284",1988,"NORTH DAKOTA",1.6046,"north"
"285",1988,"SOUTH DAKOTA",1.5693,"north"
"286",1988,"WISCONSIN",1.8505,"north"
"287",1988,"ARKANSAS",2.4846,"south"
"288",1988,"OKLAHOMA",1.744,"south"
"289",1988,"TENNESSEE",1.458,"south"
"290",1988,"TEXAS",5.0295,"south"
"291",1989,"IDAHO",2.1278,"north"
"292",1989,"MINNESOTA",5.8297,"north"
"293",1989,"MONTANA",1.4462,"north"
"294",1989,"NORTH DAKOTA",2.6182,"north"
"295",1989,"SOUTH DAKOTA",2.2266,"north"
"296",1989,"WISCONSIN",3.0372,"north"
"297",1989,"ARKANSAS",2.3891,"south"
"298",1989,"OKLAHOMA",1.7172,"south"
"299",1989,"TENNESSEE",1.5596,"south"
"300",1989,"TEXAS",5.5879,"south"
"301",1990,"IDAHO",2.2584,"north"
"302",1990,"MINNESOTA",6.2327,"north"
"303",1990,"MONTANA",1.418,"north"
"304",1990,"NORTH DAKOTA",3.6471,"north"
"305",1990,"SOUTH DAKOTA",2.8834,"north"
"306",1990,"WISCONSIN",3.3822,"north"
"307",1990,"ARKANSAS",2.5364,"south"
"308",1990,"OKLAHOMA",1.8633,"south"
"309",1990,"TENNESSEE",1.6142,"south"
"310",1990,"TEXAS",5.1774,"south"
"311",1991,"IDAHO",2.3572,"north"
"312",1991,"MINNESOTA",6.059,"north"
"313",1991,"MONTANA",1.6475,"north"
"314",1991,"NORTH DAKOTA",3.5818,"north"
"315",1991,"SOUTH DAKOTA",2.9014,"north"
"316",1991,"WISCONSIN",3.4995,"north"
"317",1991,"ARKANSAS",2.5751,"south"
"318",1991,"OKLAHOMA",1.5932,"south"
"319",1991,"TENNESSEE",1.6035,"south"
"320",1991,"TEXAS",5.7807,"south"
