"","year","state","region","irrigated","non_irrigated","pct_irr","pct_non_irr"
"89",1977,"KANSAS","mid",106,65,0.619883040935672,0.380116959064327
"90",1977,"MONTANA","north",68,NA,NA,NA
"91",1977,"NEBRASKA","mid",116,64.2,0.643729189789123,0.356270810210877
"92",1978,"KANSAS","mid",116,69,0.627027027027027,0.372972972972973
"93",1978,"MONTANA","north",72,NA,NA,NA
"94",1978,"NEBRASKA","mid",126,85.2,0.596590909090909,0.403409090909091
"95",1979,"KANSAS","mid",129,90,0.589041095890411,0.410958904109589
"96",1979,"MONTANA","north",77,NA,NA,NA
"97",1979,"NEBRASKA","mid",128,87.6,0.593692022263451,0.406307977736549
"98",1980,"KANSAS","mid",110,39,0.738255033557047,0.261744966442953
"99",1980,"MONTANA","north",74,NA,NA,NA
"100",1980,"NEBRASKA","mid",101,48.2,0.676943699731903,0.323056300268097
"101",1981,"KANSAS","mid",140,96,0.593220338983051,0.406779661016949
"102",1981,"MONTANA","north",85,NA,NA,NA
"103",1981,"NEBRASKA","mid",129,79.1,0.619894281595387,0.380105718404613
"104",1981,"TEXAS","south",138.3,80.8,0.631218621633957,0.368781378366043
"105",1982,"KANSAS","mid",128,82,0.60952380952381,0.39047619047619
"106",1982,"MONTANA","north",100,NA,NA,NA
"107",1982,"NEBRASKA","mid",123,84.6,0.592485549132948,0.407514450867052
"108",1982,"NORTH DAKOTA","north",110.3,62.9,0.636836027713626,0.363163972286374
"109",1982,"TEXAS","south",130.4,68.2,0.656596173212487,0.343403826787513
"110",1983,"KANSAS","mid",120,36,0.769230769230769,0.230769230769231
"111",1983,"MONTANA","north",105,NA,NA,NA
"112",1983,"NEBRASKA","mid",116,58.4,0.665137614678899,0.334862385321101
"113",1983,"NORTH DAKOTA","north",107.4,63,0.630281690140845,0.369718309859155
"114",1983,"TEXAS","south",125.4,66.7,0.652785007808433,0.347214992191567
"115",1984,"KANSAS","mid",147,66,0.690140845070423,0.309859154929577
"116",1984,"MONTANA","north",92,NA,NA,NA
"117",1984,"NEBRASKA","mid",134,78.4,0.630885122410546,0.369114877589454
"118",1984,"NORTH DAKOTA","north",110.1,60.9,0.643859649122807,0.356140350877193
"119",1984,"SOUTH DAKOTA","north",121.1,63,0.657794676806084,0.342205323193916
"120",1984,"TEXAS","south",139.2,51.6,0.729559748427673,0.270440251572327
"121",1985,"KANSAS","mid",147,94,0.609958506224066,0.390041493775934
"122",1985,"MONTANA","north",95,NA,NA,NA
"123",1985,"NEBRASKA","mid",141.5,99.5,0.587136929460581,0.412863070539419
"124",1985,"NORTH DAKOTA","north",99.4,68.5,0.592019058963669,0.407980941036331
"125",1985,"OKLAHOMA","south",123.4,80.9,0.604013705335291,0.395986294664709
"126",1985,"SOUTH DAKOTA","north",123.1,81.2,0.602545276554087,0.397454723445913
"127",1985,"TEXAS","south",138.7,75.1,0.648737137511693,0.351262862488307
"128",1986,"KANSAS","mid",150,104,0.590551181102362,0.409448818897638
"129",1986,"MONTANA","north",115,NA,NA,NA
"130",1986,"NEBRASKA","mid",140.5,100.7,0.582504145936982,0.417495854063018
"131",1986,"NORTH DAKOTA","north",123.5,89.3,0.580357142857143,0.419642857142857
"132",1986,"OKLAHOMA","south",144.4,81.8,0.638373121131742,0.361626878868258
"133",1986,"SOUTH DAKOTA","north",124.7,79,0.612174766813942,0.387825233186058
"134",1986,"TEXAS","south",148.1,81,0.646442601484068,0.353557398515932
"135",1987,"KANSAS","mid",134,91,0.595555555555556,0.404444444444444
"136",1987,"MONTANA","north",105,NA,NA,NA
"137",1987,"NEBRASKA","mid",148,92.5,0.615384615384615,0.384615384615385
"138",1987,"NORTH DAKOTA","north",127,88.8,0.588507877664504,0.411492122335496
"139",1987,"OKLAHOMA","south",107,72.7,0.595436839176405,0.404563160823595
"140",1987,"SOUTH DAKOTA","north",126.8,79.6,0.614341085271318,0.385658914728682
"141",1987,"TEXAS","south",146,76.4,0.656474820143885,0.343525179856115
"142",1988,"KANSAS","mid",149,70,0.680365296803653,0.319634703196347
"143",1988,"MONTANA","north",110,NA,NA,NA
"144",1988,"NEBRASKA","mid",146,73.4,0.665451230628988,0.334548769371012
"145",1988,"NORTH DAKOTA","north",110,49.6,0.68922305764411,0.31077694235589
"146",1988,"OKLAHOMA","south",115,57.4,0.667053364269142,0.332946635730858
"147",1988,"SOUTH DAKOTA","north",117.1,49.7,0.702038369304556,0.297961630695444
"148",1988,"TEXAS","south",137.8,63,0.686254980079681,0.313745019920319
"149",1989,"KANSAS","mid",148,67,0.688372093023256,0.311627906976744
"150",1989,"MONTANA","north",80,NA,NA,NA
"151",1989,"NEBRASKA","mid",142.5,67.3,0.679218303145853,0.320781696854147
"152",1989,"NORTH DAKOTA","north",112,69.7,0.616400660429279,0.383599339570721
"153",1989,"OKLAHOMA","south",146.4,76.6,0.656502242152466,0.343497757847534
"154",1989,"SOUTH DAKOTA","north",122,67.7,0.643120716921455,0.356879283078545
"155",1989,"TEXAS","south",137.7,68.8,0.66682808716707,0.33317191283293
"156",1990,"KANSAS","mid",153.6,78.8,0.660929432013769,0.339070567986231
"157",1990,"MONTANA","north",95,NA,NA,NA
"158",1990,"NEBRASKA","mid",145.5,88.7,0.621263877028181,0.378736122971819
"159",1990,"NORTH DAKOTA","north",124,73.5,0.627848101265823,0.372151898734177
"160",1990,"OKLAHOMA","south",140,58.3,0.706001008572869,0.293998991427131
"161",1990,"SOUTH DAKOTA","north",123.4,75,0.621975806451613,0.378024193548387
"162",1990,"TEXAS","south",141,39.2,0.782463928967814,0.217536071032187
"163",1991,"KANSAS","mid",156.1,54.9,0.739810426540284,0.260189573459716
"164",1991,"MONTANA","north",120,NA,NA,NA
"165",1991,"NEBRASKA","mid",150.5,77.2,0.660957400087835,0.339042599912165
"166",1991,"NORTH DAKOTA","north",124,85.9,0.59075750357313,0.40924249642687
"167",1991,"OKLAHOMA","south",139.4,75,0.650186567164179,0.349813432835821
"168",1991,"SOUTH DAKOTA","north",126,70.8,0.640243902439024,0.359756097560976
"169",1991,"TEXAS","south",145.3,73.8,0.663167503423094,0.336832496576905
"170",1992,"KANSAS","mid",166.6,113.8,0.594151212553495,0.405848787446505
"171",1992,"MONTANA","north",110,NA,NA,NA
"172",1992,"NEBRASKA","mid",143.5,117.2,0.550441120061373,0.449558879938627
"173",1992,"NORTH DAKOTA","north",85.7,60.2,0.587388622344071,0.412611377655929
"174",1992,"OKLAHOMA","south",171.4,95.8,0.641467065868264,0.358532934131737
"175",1992,"SOUTH DAKOTA","north",110,82.5,0.571428571428571,0.428571428571429
"176",1992,"TEXAS","south",174.9,75.7,0.697924980047885,0.302075019952115
"177",1993,"KANSAS","mid",141.7,66.5,0.68059558117195,0.31940441882805
"178",1993,"MONTANA","north",105,NA,NA,NA
"179",1993,"NEBRASKA","mid",110.9,90,0.552015928322549,0.447984071677451
"180",1993,"NORTH DAKOTA","north",56.3,43.6,0.563563563563564,0.436436436436436
"181",1993,"OKLAHOMA","south",141,54,0.723076923076923,0.276923076923077
"182",1993,"SOUTH DAKOTA","north",102,60.6,0.627306273062731,0.372693726937269
"183",1993,"TEXAS","south",153.3,76.3,0.667682926829268,0.332317073170732
"184",1994,"KANSAS","mid",170,90,0.653846153846154,0.346153846153846
"185",1994,"MONTANA","north",135,NA,NA,NA
"186",1994,"NEBRASKA","mid",152.6,113,0.574548192771084,0.425451807228916
"187",1994,"NORTH DAKOTA","north",122.5,97.1,0.557832422586521,0.442167577413479
"188",1994,"OKLAHOMA","south",135,71.7,0.653120464441219,0.346879535558781
