"","state","year","value","total","avg_gdp","perc","region"
"66","Idaho","1993",1700.6,23099.8,1700.6,0.0736196850189179,"north"
"67","Idaho","1994",1533.3,25455.5,1533.3,0.0602345269195262,"north"
"68","Idaho","1995",1551.9,27762.4,1551.9,0.055899345877878,"north"
"69","Idaho","1996",1817,28914.6,1817,0.0628402260449738,"north"
"70","Idaho","1997",1616.7,30311.7,1616.7,0.0533358406159998,"north"
"71","Illinois","1963",1120.5,39513.8,1120.5,0.0283571815416386,"mid"
"72","Illinois","1964",1007.9,42478.4,1007.9,0.0237273531959772,"mid"
"73","Illinois","1965",1256.3,45977.7,1256.3,0.0273241158213656,"mid"
"74","Illinois","1966",1401.7,50435.4,1401.7,0.0277919873739477,"mid"
"75","Illinois","1967",1443.7,52816.8,1443.7,0.0273341058148165,"mid"
"76","Illinois","1968",1264.4,56331.2,1264.4,0.0224458204334365,"mid"
"77","Illinois","1969",1510,60840,1510,0.024819197896121,"mid"
"78","Illinois","1970",1391,62763.4,1391,0.0221625979472113,"mid"
"79","Illinois","1971",1593.9,67378.9,1593.9,0.0236557735433496,"mid"
"80","Illinois","1972",1743.2,73501,1743.2,0.0237166841267466,"mid"
"81","Illinois","1973",2798.4,81285.5,2798.4,0.0344268042885878,"mid"
"82","Illinois","1974",2815.1,88069.7,2815.1,0.0319644554256458,"mid"
"83","Illinois","1975",3601.3,95879.7,3601.3,0.0375606098058296,"mid"
"84","Illinois","1976",3082.1,104819.3,3082.1,0.0294039361071864,"mid"
"85","Illinois","1977",3191.3,115076.9,3191.3,0.027731890587946,"mid"
"86","Illinois","1978",3301.1,128121.9,3301.1,0.0257653063215578,"mid"
"87","Illinois","1979",3961.8,139252.7,3961.8,0.028450435790473,"mid"
"88","Illinois","1980",2847,145264.4,2847,0.0195987454600026,"mid"
"89","Illinois","1981",4182.4,159649.3,4182.4,0.0261974214731916,"mid"
"90","Illinois","1982",3449.5,164266.6,3449.5,0.0209993997562499,"mid"
"91","Illinois","1983",1767.9,173119.3,1767.9,0.0102120329737932,"mid"
"92","Illinois","1984",3422.8,194244.3,3422.8,0.0176211090878857,"mid"
"93","Illinois","1985",3745.4,206281.1,3745.4,0.018156777329576,"mid"
"94","Illinois","1986",3067.3,218695.6,3067.3,0.0140254307814149,"mid"
"95","Illinois","1987",2774.2,231210.1,2774.2,0.0119986107873315,"mid"
"96","Illinois","1988",2302.6,252196.8,2302.6,0.00913017135824087,"mid"
"97","Illinois","1989",4078.6,266607.9,4078.6,0.0152981213234867,"mid"
"98","Illinois","1990",4045.4,279019.1,4045.4,0.0144986490172178,"mid"
"99","Illinois","1991",3299.1,288473.5,3299.1,0.0114364057703741,"mid"
"100","Illinois","1992",4210.6,306236.3,4210.6,0.0137495130394405,"mid"
"101","Illinois","1993",3457.1,320078.9,3457.1,0.0108007744340536,"mid"
"102","Illinois","1994",4639.5,347971.5,4639.5,0.0133329884775046,"mid"
"103","Illinois","1995",3013,364450.7,3013,0.00826723614469666,"mid"
"104","Illinois","1996",5112.9,383504.1,5112.9,0.0133320608567157,"mid"
"105","Illinois","1997",4843.9,408047.8,4843.9,0.0118709131626246,"mid"
"106","Indiana","1963",654.1,15636.3,654.1,0.0418321469912959,"mid"
"107","Indiana","1964",527.5,16723,527.5,0.0315433833642289,"mid"
"108","Indiana","1965",750,18518.5,750,0.0405000405000405,"mid"
"109","Indiana","1966",738.7,20048.9,738.7,0.0368449141848181,"mid"
"110","Indiana","1967",751,20951.1,751,0.035845373273957,"mid"
"111","Indiana","1968",708.6,22646,708.6,0.0312902940916718,"mid"
"112","Indiana","1969",877.6,24212.2,877.6,0.0362461899373043,"mid"
"113","Indiana","1970",769.8,24545.7,769.8,0.0313619086031362,"mid"
"114","Indiana","1971",1014.3,26882.3,1014.3,0.0377311465164811,"mid"
"115","Indiana","1972",944.6,29953.9,944.6,0.0315351256430715,"mid"
"116","Indiana","1973",1791.7,33972.2,1791.7,0.0527401816779602,"mid"
"117","Indiana","1974",1412.8,35605.7,1412.8,0.0396790401536833,"mid"
"118","Indiana","1975",1825.3,37677.3,1825.3,0.048445615795187,"mid"
"119","Indiana","1976",1901.7,43774.8,1901.7,0.0434428027084076,"mid"
"120","Indiana","1977",1569.2,47901.4,1569.2,0.0327589590283374,"mid"
"121","Indiana","1978",1731.9,53729.2,1731.9,0.0322338691065566,"mid"
"122","Indiana","1979",1952.9,57917.5,1952.9,0.0337186515301938,"mid"
"123","Indiana","1980",1737.6,58870.5,1737.6,0.0295156317680332,"mid"
"124","Indiana","1981",1932.6,64724.3,1932.6,0.0298589556009103,"mid"
"125","Indiana","1982",1895.6,64982,1895.6,0.0291711550891016,"mid"
"126","Indiana","1983",957.7,69334.8,957.7,0.0138126885777416,"mid"
